mobile_language|english|français|polski|nederlands|deutsch|italiano|español|português
mobile_month12_abr|dec|déc|Gru|dec|dec|dic|dic|dez|Dez
mobile_month1_min|/01/|/01/|/01/|/01/|/01/|/01/|/01/|/01/|/01/
mobile_month2_min|/02/|/02/|/02/|/02/|/02/|/02/|/02/|/02/|/02/
mobile_month3_min|/03/|/03/|/03/|/03/|/03/|/03/|/03/|/03/|/03/
mobile_month4_min|/04/|/04/|/04/|/04/|/04/|/04/|/04/|/04/|/04/
mobile_month5_min|/05/|/05/|/05/|/05/|/05/|/05/|/05/|/05/|/05/
mobile_month6_min|/06/|/06/|/06/|/06/|/06/|/06/|/06/|/06/|/06/
mobile_month7_min|/07/|/07/|/07/|/07/|/07/|/07/|/07/|/07/|/07/
mobile_month8_min|/08/|/08/|/08/|/08/|/08/|/08/|/08/|/08/|/08/
mobile_month9_min|/09/|/09/|/09/|/09/|/09/|/09/|/09/|/09/|/09/
mobile_month10_min|/10/|/10/|/10/|/10/|/10/|/10/|/10/|/10/|/10/
mobile_month11_min|/11/|/11/|/11/|/11/|/11/|/11/|/11/|/11/|/11/
mobile_month12_min|/12/|/12/|/12/|/12/|/12/|/12/|/12/|/12/|/12/
mobile_dear0|Dear|Chère|Szanowny|Beste|Geehrte|Cara|Querida|Cara|Léif
mobile_dear1|Dear|Cher|Szanowny|Beste|Geehrter|Caro|Querido|Caro|Léif
mobile_dear2|||||||||
mobile_dear3|||||||||
mobile_dear4|Dear|Cher|Szanowny|Beste|Geehrter|Caro|Querido|Caro|Léif
mobile_dear5|Dear|Chère|Szanowny|Beste|Geehrte|Cara|Querida|Cara|Léif
mobile_dear6|Dear|Chère|Szanowny|Beste|Geehrte|Cara|Querida|Cara|Léif
mobile_dear7|Dear|Cher.e|Szanowny|Beste|Geehrte*r|Carə|Queride|Queride|Léif
3|participants|participants|uczestnicy|deelnemers|teilnehmer|partecipanti|participantes|participantes|Participanten
english|english|anglais|angielsku|Engels|Englisch|inglese|inglés|inglês
french|french|français|francusku|Frans|französisch|francese|francés|francês
polish|polish|polonais|polsku|Pools|polnisch|polacco|polaco|polonês
dutch|dutch|neerlandais|holendersku|nederlands|niederländisch|olandese|holandés|holandês
german|german|allemand|niemiecku|Duits|Deutsch|tedesco|alemán|alemão
italian|italian|italien|włosku|Italiaans|italienisch|italiano|italiano|italiano
spanish|spanish|espagnol|hiszpańsku|Spaans|Spanisch|spagnolo|español|espanhol
portuguese|portuguese|portuguais|portugalsku|Portugees|portugiesisch|portoghese|portugues|português
luxembourgish
useme|||||||||
0-version|english version|version anglaise|angielska wersja|Engelse versie|englische Version|versione inglese|versión inglesa|versão em inglês|englesch Versioun
english version|english version|version anglaise|angielska wersja|Engelse versie|englische Version|versione inglese|versión inglesa|versão em inglês|englesch Versioun
1-version|french version|version française|wersja francuska|Franse versie|französische Version|versione francese|versión francesa|versão francesa|franséisch Versioun
french version|french version|version française|wersja francuska|Franse versie|französische Version|versione francese|versión francesa|versão francesa|franséisch Versioun
2-version|polish version|version polonaise|polska wersja|Poolse versie|polnische Version|versione polacca|versión polaca|versão polonesa|polnesch Versioun
polish version|polish version|version polonaise|polska wersja|Poolse versie|polnische Version|versione polacca|versión polaca|versão polonesa|polnesch Versioun
3-version|dutch version|version neerlandaise|wersja holenderska|nederlandse versie|Niederländische Version|versione olandese|versión neerlandesa|versão neerlandesa|nëdersch Versioun
dutch version|dutch version|version neerlandaise|wersja holenderska|nederlandse versie|Niederländische Version|versione olandese|versión neerlandesa|versão neerlandesa|nëdersch Versioun
4-version|german version|version allemande|wersja niemiecka|Duitse versie|Deutsche Version|Versione tedesca|versión Alemana|versão alemã|däitsch Versioun
german version|german version|version allemande|wersja niemiecka|Duitse versie|Deutsche Version|Versione tedesca|versión Alemana|versão alemã|däitsch Versioun
5-version|italian version|version italienne|wersja włoska|Italiaanse versie|italienische Version|versione italiana|versión italiana|versão italiana|italienesch Versioun
italian version|italian version|version italienne|wersja włoska|Italiaanse versie|italienische Version|versione italiana|versión italiana|versão italiana|italienesch Versioun
6-version|spanish version|version espagnole|wersja hiszpańska|Spaanse versie|Spanische Version|versione spagnola|versión en español|versão espanhola|spuenesch Versioun
spanish version|spanish version|version espagnole|wersja hiszpańska|Spaanse versie|Spanische Version|versione spagnola|versión en español|versão espanhola|spuenesch Versioun
7-version|portuguese version|version portuguaise|wersja portugalska|Portugese versie|portugiesische Version|versione portoghese|versión portuguesa|versão portuguesa|lëtzebuergesch Versioun
portuguese version|portuguese version|version portuguaise|wersja portugalska|Portugese versie|portugiesische Version|versione portoghese|versión portuguesa|versão portuguesa|lëtzebuergesch Versioun
8-version|luxembourgish version|version luxembourgeoise|wersja luksemburska|Luxemburgse versie|luxemburgische Version|versione lussemburghese|versión luxemburguesa|versão luxemburguesa|Lëtzebuergesch Versioun
luxembourgish version|luxembourgish version|version luxembourgeoise|wersja luksemburska|Luxemburgse versie|luxemburgische Version|versione lussemburghese|versión luxemburguesa|versão luxemburguesa|Lëtzebuergesch Versioun
empty string|||||||||||
male|Mr.|M.|Pan|Mr|Herr|Sig|Señor|Sr.|Här
female|Mrs.|Mme|Pani|Mvr|Frau|Sig.ra|Señora|Sra.|Madame
sa|aS|SA|SA|NV|aG|SA|SA|SA|SA
sprl|Ltd|Sprl|Sp.z o.o.|Bvba|Pgbh|Ltd|SRL|SARL|S.à r.l.
miss|Miss|Mlle|Tęsknić|Juffr|Ms|Sig.na|Señorita|Menina|Joffer
boy|Boy|Garçon|Chłopak|Jhr|Junge|Ragazzo|Niño|Rapaz|Bouf
girl|Girl|Fille|Córka|Dchtr|Mädchen|Ragazza|Niña|Rapariga|Meedchen
othergender|other|autre|inna|anders|anders|altro|otro|outro|aner
minute|minute|minute|minuta|minuut|Minute|minuto|minuto|minuto|Minutt
minutes|minutes|minutes|minut|minuten|Minuten|Minuti|minutos|minutos|Minutten
mn|mn|mn|min|mn|Min|min|mn|mn|min
hour|hour|heure|godzinę|uur|Stund|ora|hora|hora|Stonn
hours|hours|heures|godziny|uren|Stunden|ore|horas|horas|Stonnen
abr min|m|m|m|m|m|m|m|m|m
ok|Ok|Ok|Ok|Ok|Ok|Ok|Ok|Ok|Ok
yes|Yes|Oui|Tak|Ja|Ja|Sì|Si|Sim|Jo
no|No|Non|Nie|Nee|Nein|No|No|Não|Nee
web|Web|Web|Web|Web|Web|Web|Web|Web|Web
or|or|ou|lub|of|oder|o|o|ou|oder
sms to|SMS to|SMS au|SMS na|SMS naar|SMS an|SMS al|SMS al|SMS para o|SMS un
email to|email to|email sur|email na|email naar|email an|email al|email al|email para o|E-Mail un
date|Date|Date|Data|Datum|Datum|Data|Fecha|Data|Datum
time|Time|Heure|Godzina|Uur|Uhr|Ora|Hora|Hora|Auer
fromdate|from|du|od|vanaf|von|dal|desde|de|vun
untildate|until|jusqu'au|do|tot|bis|fino al|hasta el|até|bis
todate|to|au|do|tot|bis|a|a|até|bis
ondate|on|le|do|op|am|il|el|o|um
fromtime|from|de|o|van|von|da|desde|de|vun
at|at|à|o|om|um|a|a|a|um
to|to|à|do|tot|bis|a|a|até|bis
for|for|pour|dla|voor|für|per|para|para|fir
abr days|days|jrs|dni|dagen|Tage|gg.|días|dias|Deeg
abr day|day|jr|dzień|dag|Tag|g.|día|dia|Dag
weekday|weekday|jour|dzień|weekdag|wochentag|feriale|día|dia|Wochendag
weekdays|weekdays|jours|dzień|weekdagen|wochentage|feriali|días|dias|Wochendeeg
men|men|hommes|Mężczyźni|mannen|Männer|Uomini|Hombre|Homens|Männer
women|women|femmes|Kobiety|vrouwen|Frauen|Donne|Mujer|Mulheres|Fraen
gender_1|Man|Masculin|Mężczyźni|Mannelijk|Männer|Uomini|Hombre|Homens|Mann
gender_0|Woman|Féminin|Kobiety|Vrouwelijk|Frauen|Donne|Mujer|Mulheres|Fra
visibility|Visibility|Visibilité|Widoczność|Zichtbaarheid|Sichtbarkeit|Visibilità|Visibilidad|Visibilidade|Siichtbarkeet
always|always|Toujours|Zawsze|altijd|immer|Sempre|Siempre|Sempre|Emmer
up to date|to|jusqu'au|do tej pory|tot|bis|fino a|hasta el|a|aktuell
from date|From|a partir du|Od tego dnia|Vanaf datum|ab Datum|Dal|Desde el|a partir de|vun
on time|On time|a l'heure|W czasie|Op tijdstip|Um Uhrzeit|In tempo|a tiempo|a tempo|pünktlech
date included|included|inclus|włączony|inbegrepen|einschließlich|inclusa|incluido|incluído|abegraff
in period|In the period|Dans la période|W okresie|In de periode|im Zeitraum|Nel periodo|En el período|No período|Am Zäitraum
single day|Single day|Un seul jour|Tylko dni|Enkel één dag|Einzelner Tag|Un solo giorno|Un solo día|Um único dia|Een Dag
local time|local time|heure locale|czas lokalny|lokale tijd|Ortszeit|ora locale|hora local|horário local|Lokalzäit
resa finder|Filter & Find|Filtrer & Trouver|Filtr i Znajdź|filteren & Zoeken|Filtern & finden|Filtrare e trovare|Filtrar y encontrar|Filtrar e Encontrar|Filteren & Fannen
account preferences|Settings & Preferences|Réglages & Préférences|Ustawienia i Ustawienia|instellingen & Voorkeuren|Einstellungen & Präferenzen |Impostazioni e Preferenze|Configuraciones y Preferencias|Configurações e Preferências|Astellungen & Präferenzen
sms dashboard|SMS dashboard|Trafique SMS|SMS traffics|SMS trafiek|SMS Verkehr|Traffico sms|Tráfico sms|Tráfego de SMS|SMS Cockpit
cnx monitoring|Connections monitoring|Monitoring des connexions|Monitoring połączeń|aanmeldingscontrole|Verbdinungsüberwachung|Monitoraggio connessioni|Monitoring conexiones |Monitorização de ligações|Verbindungséiwwerwaachung
elearning|Online tutorial|Tutoriel en ligne|Samouczek online|online tutorial|Online Tutorial|Tutorial online|Tutorial online|Tutorial on-line|Online Cours
account archives|archives|archives|archiwum|archief|archiv|archivi|archivos|Ficheiros|Archiv
loading|Currently loading|En cours de Chargement|ładowanie|Is aan het laden|Wird geladen|Caricando|Cargando|a carregar|Lued
error occured|an error occured|une erreur est survenue|wystąpił błąd|er is een fout opgetreden|ein Fehler ist aufgetreten|si è verificato un errore|ocurrió un error|um erro ocorreu|e Feeler ass geschitt
account settings changed|account settings were changed|les réglages de votre agenda ont changés|ustawienia konta zostały zmienione|accountinstellingen zijn gewijzigd|Kontoeinstellungen wurden geändert|le impostazioni dell'account sono state modificate|la configuración de la cuenta fue cambiada|as configurações da conta foram alteradas|Kontoeinstellungen goufen geännert
sw update title|application update|mise à jour de l'application|aktualizacja oprogramowania|software-update|Software-Aktualisierung|aggiornamento del software|actualización de software|atualização de software|Applikatiounsaktualiséierung
please update|a new version of Mobminder is available, please follow the link below to update your application|une nouvelle version de Mobminder est disponible, SVP suivez le lien suivant pour mettre à jour votre application|dostępna jest nowa wersja Mobmindera, skorzystaj z poniższego łącza, aby zaktualizować swoją aplikację|er is een nieuwe versie van Mobminder beschikbaar, volg de onderstaande link om uw applicatie bij te werken|Eine neue Version von Mobminder ist verfügbar. Bitte folgen Sie dem Link unten, um Ihre Anwendung zu aktualisieren|è disponibile una nuova versione di Mobminder, segui il link sottostante per aggiornare la tua applicazione|una nueva versión de Mobminder está disponible, siga el enlace a continuación para actualizar su aplicación|uma nova versão do Mobminder está disponível, siga o link abaixo para atualizar seu aplicativo|Eng nei Versioun vu Mobminder ass verfügbar, w.e.g. verfollegt de Link hei ënnen fir Är Uwendung z'aktualiséieren
account statistics|Statistics|Statistiques|Statystyki|Statistieken|Statistiken|Statistiche|Estadísticas|Estatísticas|Statistiken
stats account|account|Compte|account|account|Konto|Conto|Cuenta|Conta|Kont
stats actuals|actuals|Presté|Wykonywane|Uitgevoerd|Werte|Effettivi|Reales|Desde|Effektiv
stats actions|audit|audit|audit|audit|Prüfung|audit|auditoría|auditoria|Audit
stats smstraf|SMS|SMS|SMS|SMS|SMS|SMS|SMS|SMS|SMS
in use|In use|activé|aktywowany|Geactiveerd|aktiviert|attivato|activado|ativado|am Lafen
not in use|Not used|Pas activé|Nie Aktywowane|Niet geactiveerd|Nicht aktiviert|Disattivato|Desactivado|Desativado|Net aktiv
search|Search|Rechercher|Wyszukiwanie|Zoeken|Suchen|Ricercare|Buscar|Pesquisar|Sichen
selection|Sel|Sel|Wybór|Sel|ausw|Sel|Sal|Sal|Ausw
id|Id|Id|Id|Id|ID|Id|Id|Id|Id
note|Note|Note|Notatka|Notitie|Notiz|Nota|Nota|Nota|Notiz
info|Info|Info|Info|Info|Info|Info|Info|Informações|Info
headline|Headline|Titrage|Nagłówek|Opschrift|Titel|Titolo|Título|Título|Iwwerschrëft
note_comm|sms, emails and notifications|sms, emails et notifications|wiadomości tekstowe, e-maile i powiadomienia|SMS-berichten, e-mails en meldingen|Textnachrichten, E-Mails und Benachrichtigungen|testo, e-mail e notifiche|texto, e-mails y notificaciones|texto, e-mails e notificações|SMS, E-Mails an Notifikatiounen
note_webp|indication for the web page|mention pour la page web|wskazanie strony internetowej|opmerking voor de webpagina|Angabe für die Webseite|indicazione per la pagina web|indicación de la página web|indicação para a página web|Indikatioun fir d'Websäit
note_secr|guideline for secretary|directive pour le secrétariat|wytyczne dla sekretariatu|richtlijnen voor het secretariaat|Richtlinien für das Sekretariat|linee guida per la segreteria|directrices para la secretaría|orientações para a secretaria|Richtlinnen fir de Sekretariat
note_comm_tip|note insertable in communications using the tag {perf_note}, to insert the name of this service use {perf}|note insérable dans les communications au moyen du tag {perf_note}, pour insérer le nom de cette prestation utilisez {perf}|notatka do wstawienia w komunikacji za pomocą tagu {perf_note}, aby wstawić nazwę tej usługi użyj {perf}|kan worden ingevoegd in communicatie met behulp van de tag {perf_note}, om de naam van deze service in te voegen, gebruikt u {perf}|note Einfügbar in die Kommunikation mit dem Tag {perf_note}, um den Namen dieses Dienstes einzufügen, verwenden Sie {perf}|nota inseribile nelle comunicazioni utilizzando il tag {perf_note}, per inserire il nome di questo servizio utilizzare {perf}|nota insertable en comunicaciones usando la etiqueta {perf_note}, para insertar el nombre de este servicio use {perf}|nota inserível nas comunicações usando a tag {perf_note}, para inserir o nome deste serviço use {perf}|Notiz, déi an d’Kommunikatiounen agedroe ka ginn, mam Tag {perf_note}, fir den Numm vun dësem Service anzesetzen, benotzt {perf}
note_webp_tip|indication appearing when making an appointment online, when this service is selected|mention apparaissant lors de la prise de RDV en ligne, lorsque cette prestation est sélectionnée|wskazanie pojawiające się podczas umawiania wizyty online, gdy wybrana jest ta usługa|indicatie die verschijnt bij het online maken van een afspraak, wanneer deze service is geselecteerd|Hinweis, der bei der Online-Terminvereinbarung erscheint, wenn dieser Dienst ausgewählt ist|indicazione che compare quando si effettua un appuntamento online, quando si seleziona questo servizio|indicación que aparece al hacer una cita en línea, cuando se selecciona este servicio|indicação que aparece ao marcar uma consulta online, quando este serviço é selecionado|Indikatioun déi erschéngt wann en RDV online gemaach gëtt, wann dëse Service ausgewielt gëtt
note_secr_tip|directive for the secretariat, appearing when selecting this service (enable pop-ups for relevant logins)|directive pour le secrétariat, apparaissant lors de la sélection de cette pretation (activer les pop-ups pour les logins qui sont concernés)|dyrektywa dla sekretariatu, pojawiająca się przy wyborze tej usługi (włącz wyskakujące okienka dla odpowiednich loginów)|richtlijn voor het secretariaat, die verschijnt bij het selecteren van deze dienst (schakel pop-ups in voor relevante logins)|Direktive für das Sekretariat, die bei der Auswahl dieses Dienstes erscheint (Popups für relevante Anmeldungen aktivieren)|direttiva per la segreteria, che compare al momento della selezione di questo servizio (abilita i pop-up per gli accessi pertinenti)|directiva para la secretaría, que aparece al seleccionar este servicio (habilitar ventanas emergentes para inicios de sesión relevantes)|diretriz para a secretaria, aparecendo ao selecionar este serviço (ativar pop-ups para logins relevantes)|Direktive fir de Sekretariat, déi erschéngt wann dëse Service ausgewielt gëtt (aktivéiert Pop-ups fir déi relevant Logins)
notes|Notes|Notes|Notatki|Nota's|Notizen|Note|Notas|Notas|Notizen
new note|New note|Nouvelle note|Nowa notatka|Nieuwe notitie|Neue Notiz|Nuova nota|Nota nueva|Nova nota|Nei Notiz
no note|No note|Pas de note|Brak notatka|Geen notitie|Keine Notiz|Nessuna nota|Ninguna nota|Sem nota|Keng Notiz
addressees|addressees|Destinataires|adresaci|Geadresseerden|Empfänger|Destinatario|Destinatario|Destinatários|Adressaten
task|Task|Tâche|Zadanie|Taak|aufgabe|attività|Tarea|Tarefa|Aufgab
tasks|Tasks|Tâches|Zadania|Taken|aufgaben|attività|Tareas|Tarefas|Aufgaben
new task|New task|Nouvelle tâche|Nowa zadanie|Nieuwe taak|Neue Aufgabe|Nuova attività|Tarea nueva|Nova tarefa|Nei Aufgab
no task|No task|Pas de tâche|Brak zadanie|Geen taak|Keine Aufgaben|Nessuna attività|Ninguna tarea|Sem tarefa|Keng Aufgab
alt mandatory|Type a title or select a reference|Indiquez un titre ou choisir une référence|Wpisz tytuł lub wybierz odniesienie|Typ een titel of selecteer een referentie|Titel eingeben oder Referenz auswählen|Indichi un titolo o scelga una referenza|Indique un título o escoja una referencia|Insira um título ou escolha uma referência|Tippt en Titel oder wielt eng Referenz
chat never been|You have never been in this chat|Vous n'avez jamais contribué à ce chat|Nigdy nie przyczyniły się do tego czatu|U heeft nooit bijgedragen tot dit gesprek|Sie haben in diesem Chat noch keinen Beitrag|Non ha mai partecipato a questo chat|Nunca participó en este chat|você nunca contribuiu para este chat
chat you quit|You have left this chat|Vous avez quitté cette conversation|Zostawiłeś tę rozmowę|U liet dit gesprek|Sie haben die Unterhaltung verlassen|Ha lasciato questa conversazione|Ha dejado esta conversación|Saiu desta conversa
chat save before|Save to start chatting|Enregistrez pour démarer la conversation|Save, aby rozpocząć czat|Sla op om te beginnen met chatten|Speichern, um den Chat zu starten|Memorizzi per cominciare la conversazione |Grabe para empezar la conversación|Registe-se para começar a conversa
copy chat thread|copy entire chat|copier la conversation|skopiuj rozmowę|gesprek kopieren|Konversation kopieren|copia conversazione|copiar conversación|copiar conversa
copy phylactery|copy this speech bubble|copier ce phylactère|skopiuj ten dymek|kopieer deze tekstballon|Kopieren Sie diese Sprechblase|copia questo fumetto|copia este bocadillo|copie este balão de fala
chat ban evacuate|You have been excluded from this conversation.|Vous avez été exclu de cette conversation.|Zostałeś wykluczony z tej rozmowy.|U bent uitgesloten van dit gesprek.|Sie wurden von diesem Gespräch ausgeschlossen.|Sei stato escluso da questa conversazione.|Ha sido excluido de esta conversación.|Você foi excluído desta conversa.
chat|Chat session|Conversation|Rozmowa|Chatsessie|Unterhaltung|Conversazione|Conversación|Conversa|Chatsëtzung
chats|chat sessions|conversations|rozmowy|chatsessies|unterhaltungen|conversazioni|conversaciones|conversas|Chats
new chat|New chat|Nouvelle conversation|Nowa rozmowa|Nieuwe chatsessie|Neue Unterhaltung|Nuova conversazione|Nueva conversación|Nova conversa|Nei Chatsëtzung
no chat|No chat|Pas de conversation|Brak rozmowa|Geen chatsessie|Keine Unterhaltungen|Nessuna conversazione|Ninguna conversación|Sem conversa|Keng Chats
conversation|Conversation|Conversation|Rozmowa|Gesprek|Unterhaltung|Conversazione|Conversación|Conversa|Gespréich
participants|Participants|Participants|uczestnik|Deelnemers|Teilnehmer|Partecipanti|Participantes|Participantes|Participanten
description|Description|Description|Opis|Beschrijving|Beschreibung|Descrizione|Descripción|Descrição|Beschreiwung
summary|Summary|Résumé|Podsumowanie|Samenvatting|Übersicht|Riassunto|Resumen|Resumo|Zesummefaassung
start chat|Start chatting here|Démarrez ici|Zacznij tutaj czacie|Start hier met chatten|Hier starten|Inizi qui|Comience aquí |Comece aqui|Start hei mam Chatten
answer here|answer here|Répondre ici|Odpowiedź tutaj|Hier aantwoorden|Hier antworten|Rispondere qui|Contestar aquí|Responda aqui|Äntwert hei
answer send|Post|Poster|Obwieścić|Uitzetten|Senden|Pubblicare|Publicar|Publicar|Posten
4all assignees|For all assignees|Pour tous les affectés|Wszystkie przypisane|Voor alle toegewezen|an alle Betroffene|Per tutti gli utenti|Para todos los usuarios|Para todos os afetados|Fir all zougewisen
assignees|assignees|affectés|Przydzielony|Toegewezen|Betroffene|Utenti|Usuarios|afetados|Zougewisen
assignee|assignee|affecté|asygnowany|Toegewezen|Betroffen|Utente|Usuario|afetado|Zougewisene
progress|Progress|Progression|Progressie|Progressie|Fortschritt|Progresso|Progresión|Progresso|Fortschrëtt
not started|Not started|Pas démarrée|Nie rozpoczęty|Niet gestart|Nicht gestartet|Non iniziato|No empezado|Não iniciado|Net ugefaang
in progress|In progress|En cours|W toku|aan de gang|In Arbeit|In corso|En curso|Em curso|Am Lafen
archived on|archived on|archivée le|archiwizowane w|Gearchiveerd op|archiviert am|archiviato il|Guardado el|Guardado a|Archivéiert den
archive|archive this task|archiver la tâche|archiwum zadanie|Taak archiveren|aufgabe archivieren|archiviare questa attività|Guardar esta actividad|Guardar a tarefa|Dës Aufgab archivéieren
to archive|archive|archiver|archiwum|archiveren|archivieren|archiviare|Guardar|Guardar|Archivéieren
archived|archived|archivée|archiwizowane|Gearchiveerd|archiviert|archiviato|Guardado|Guardado|Archivéiert
finished|Finished|Terminée|Gotowy|afgewerkt|Fertig|Terminato|acabado|Terminado|Fäerdeg
verified|Verified|Vérifiée|Zweryfikowana|Verified|Überprüft|Verificato|Comprobado|Verificado|Iwwerpréift
task schedule|Scheduling|Entre en vigueur le|Wchodzi w życie|treedt in werking op|Tritt in Kraft am|Entra in vigore il|Entra en vigor el|Entra em vigor a|Trëtt a Kraaft de
tskass-loginId|assignees|affectés|Przydzielony|Toegewezen|Betroffene|Utenti|Cesionarios|afetados|Zougewisen
tskass-cssPattern|Status|Statut|Stan|Staat|Status|Status|Estado|Estado|Status
tskass-midnOut|archived on|archivée le|archiwizowane w|Gearchiveerd op|archiviert am|archiviato il|Guardado el|Guardado a|Archivéiert den
tskass-abr-loginId|assignees|affectés|Przydzielony|Toegewezen|Betroffene|Utenti|Cesionarios|afetados|Zougewisen
tskass-abr-cssPattern|Status|Statut|Stan|Staat|Status|Status|Estado|Estado|Status
tskass-abr-midnOut|archived on|archivée le|archiwizowane w|Gearchiveerd op|archiviert am|archiviato il|Guardado el|Guardado a|Archivéiert den
tskass-csv-loginId|assignees|affectés|Przydzielony|Toegewezen|Betroffene|Utenti|Cesionarios|afetados|Zougewisen
tskass-csv-cssPattern|Status|Statut|Stan|Staat|Status|Status|Estado|Estado|Status
tskass-csv-midnOut|archived on|archivée le|archiwizowane w|Gearchiveerd op|archiviert am|archiviato il|Guardado el|Guardado a|Archivéiert den
tskass-tip-loginId|assignees|affectés|Przydzielony|Toegewezen|Betroffene|Utenti|Cesionarios|afetados|Zougewisen
tskass-tip-cssPattern|Status|Statut|Stan|Staat|Status|Status|Estado|Estado|Status
tskass-tip-midnOut|archived on|archivée le|archiwizowane w|Gearchiveerd op|archiviert am|archiviato il|Guardado el|Guardado a|Archivéiert den
see archives|see archives|voir les archives|zobacz archiwa|archieven zien|siehe die Archive|vedere gli archivi|ver los archivos|veja os arquivos|kuckt d'Archive
chat unsent msg on launch pad|you wrote a message that you did not send|vous avez écrit un message que vous n'avez pas envoyé|napisałeś wiadomość, której nie wysłałeś|u hebt een bericht geschreven dat u niet hebt verzonden|Sie haben eine Nachricht geschrieben, die Sie nicht gesendet haben|hai scritto un messaggio che non hai inviato|escribiste un mensaje que no enviaste|você escreveu uma mensagem que não enviou|dir hutt e Message geschriwwen, deen dir net geschéckt hutt
quit anyway|close anyway|fermer quand même|zrezygnuj mimo wszystko|toch sluiten|sowieso schließen|chiudere comunque|cerrar de todos modos|feche de qualquer maneira|maach zou egal wéi
chat stay|do not quit|ne pas quitter|nie odchodź|blijven|kündige nicht|non uscire|no renuncies|não saia|bleiwt
archived chats|archived chats|conversations archivées|zarchiwizowane czaty|gearchiveerde chats|archivierte Chats|chat archiviate|chats archivados|chats arquivados|archivéiert Chats
archived chat|archived chat|conversation archivée|zarchiwizowany czat|gearchiveerde chat|archivierte Chat|chat archiviata|chat archivado|chat arquivado|archivéiert Chat
